,Price,MA 7,MA 20,MA 50,RSI 7,RSI 14,RSI 21,Gain,Loss,Average Gain (7),Average Loss (7),Average Gain (14),Average Loss (14),Average Gain (21),Average Loss (21)
107,111.621,104.9172857,103.27364,95.0976,73.8421253,64.09050173,54.28343885,5.553,0,1.789161984,0.633793716,1.728829397,0.968652055,1.709184687,1.439445398
108,111.87,106.3741429,104.019645,95.26118,74.28260869,64.34368441,54.93252948,0.249,0,1.569138843,0.543251757,1.623127297,0.899462623,1.702515837,1.39676951
109,109.867,107.298,104.806495,95.39072,64.14534753,60.63987011,55.23397072,0,2.003,1.344976151,0.75178722,1.507189633,0.978286721,1.685490138,1.366056068
110,112.74,108.7308571,105.743245,95.65232,70.81114374,63.8538604,55.77776873,2.873,0,1.563265273,0.644389046,1.604747516,0.908409098,1.679669906,1.331690972
111,114.4,110.2494286,106.53445,96.073698,74.06176378,65.60162565,56.40214924,1.66,0,1.577084519,0.552333468,1.608694122,0.843522734,1.674784887,1.294578709
112,118.782,112.1925714,107.39855,96.541566,80.68596162,69.75855536,57.36473513,4.382,0,1.977786731,0.473428687,1.806787399,0.78327111,1.689213547,1.255476327
113,120.5,114.2542857,107.90655,97.001486,82.70610938,71.22667125,58.33571037,1.718,0,1.940674341,0.405796017,1.800445442,0.727323174,1.70118787,1.21501536
114,121.51,115.667,108.67055,97.641906,83.86370998,72.0846639,59.24555052,1.01,0,1.807720864,0.347825157,1.743985053,0.675371519,1.70626087,1.173720589
115,122.499,117.1854286,109.715,98.275946,85.0099874,72.93570356,60.10549461,0.989,0,1.69076074,0.298135849,1.69005755,0.627130696,1.705522768,1.132026077
116,120,118.633,110.53,99.099946,70.29031086,67.34855916,60.46253853,0,2.499,1.449223492,0.612545014,1.569339153,0.760835646,1.693318041,1.107288884
117,120.44,119.733,111.309,99.939146,71.31073551,67.81603627,60.80576784,0.44,0,1.305048707,0.525038583,1.488672071,0.706490243,1.674829025,1.079562679
118,122,120.8187143,112.081,101.022966,74.87958586,69.48420253,61.24904468,1.56,0,1.34147032,0.450033071,1.493766923,0.656026654,1.658954801,1.049585079
119,122.04,121.2841429,112.89095,102.102104,74.97271912,69.52781628,61.62871352,0.04,0,1.155545989,0.385742633,1.389926428,0.609167607,1.634982953,1.017973534
120,125.67,122.0227143,113.83695,103.065464,82.0274576,73.2624775,62.31228175,3.63,0,1.509039419,0.330636542,1.549931683,0.565655635,1.628985642,0.985243201
121,123.02,122.2384286,114.90435,103.998034,66.14698733,66.82371802,62.45052882,0,2.65,1.293462359,0.661974179,1.439222278,0.714537376,1.613008343,0.969849438
122,123.44,122.3728571,115.90635,104.926834,67.31696271,67.3140273,62.60876157,0.42,0,1.168682022,0.567406439,1.366420686,0.663498992,1.591849946,0.950685485
123,129.2,123.6871429,117.23085,105.795834,78.95445764,73.17024247,63.31930788,5.76,0,1.82458459,0.486348376,1.68024778,0.616106207,1.602932548,0.928574194
124,137.76,126.1614286,118.93035,106.674954,86.98768129,79.1490805,64.72781624,8.56,0,2.786786792,0.416870037,2.171658653,0.57209862,1.65930656,0.90420733
125,138.17,128.4714286,120.57985,107.67711,87.25943489,79.38603035,65.89640672,0.41,0,2.447245822,0.357317174,2.045825892,0.531234433,1.696827477,0.878164941
126,137.17,130.6328571,122.13495,108.50891,82.36474791,77.08510499,66.6724229,0,1,2.097639276,0.449129007,1.899695471,0.564717688,1.715913753,0.857734659
127,137.51,132.3242857,123.4294,109.37911,82.74859885,77.325738,67.34041626,0.34,0,1.846547951,0.38496772,1.788288652,0.52438071,1.722134429,0.835221948
128,135.21,134.0657143,124.5964,110.13729,70.61776599,71.83057852,67.47800265,0,2.3,1.582755386,0.65854376,1.660553748,0.65121066,1.715497332,0.8268087
129,129.96,134.9971429,125.60105,110.756898,50.78958444,61.14844933,66.64506237,0,5.25,1.356647474,1.31446608,1.541942766,0.979695612,1.698409244,0.85003048
130,126.13,134.5585714,126.27055,111.323498,40.99317862,54.75155635,65.29267373,0,3.83,1.162840692,1.673828069,1.431803997,1.183288783,1.672905979,0.889258937
131,123.73,132.5542857,126.73705,112.02236,35.92708361,51.14118733,63.7844873,0,2.4,0.996720593,1.777566916,1.329532283,1.270196727,1.640706675,0.931559317
132,121.77,130.2114286,126.88645,112.62632,32.14238381,48.33787069,62.22998881,0,1.96,0.854331937,1.803628785,1.234565691,1.319468389,1.603260259,0.973086435
133,126.4,128.6728571,127.18145,113.36872,47.41035743,54.66037168,61.43014135,4.63,0,1.393713089,1.54596753,1.477096713,1.225220647,1.593281822,1.000366487
134,127.78,127.2828571,127.49495,114.116976,51.2263942,56.37410687,60.92231338,1.38,0,1.391754076,1.325115026,1.470161234,1.137704887,1.583685263,1.015830703
135,131.65,126.7742857,127.9525,114.915928,60.58397916,60.84384758,60.90454574,3.87,0,1.745789208,1.135812879,1.641578289,1.056440252,1.591404498,1.02154414
136,134.22,127.3828571,128.6635,115.708716,65.684742,63.51706688,61.15069465,2.57,0,1.863533607,0.973553896,1.707894125,0.980980234,1.604363027,1.01925889
137,135.05,128.6571429,129.394,116.519216,67.28012776,64.36324613,61.43479988,0.83,0,1.715885949,0.834474768,1.645187402,0.910910217,1.609673643,1.010459646
138,131.39,129.7514286,129.8635,117.208018,54.29399054,57.97739228,61.08380991,0,3.66,1.470759385,1.23812123,1.527674016,1.107273773,1.603058678,1.021300674
139,129.95,130.92,130.259,117.924418,49.87517559,55.63843633,60.56883797,0,1.44,1.260650901,1.266961054,1.418554443,1.131039932,1.586753546,1.032998787
140,131.48,131.6457143,130.5495,118.673918,54.46864045,57.59586177,60.30323887,1.53,0,1.299129344,1.085966618,1.42651484,1.050251366,1.573057155,1.035521065
141,131.31,132.15,130.964,119.3286,53.82918598,57.29336213,60.05632664,0,0.17,1.113539438,0.955114244,1.324620923,0.987376268,1.551175359,1.031692169
142,132.06,132.2085714,131.395,119.9398,56.46011711,58.33309518,59.93002553,0.75,0,1.061605232,0.818669352,1.283576572,0.916849392,1.527862496,1.021548225
143,130.23,131.6385714,131.4465,120.3376,48.57994688,54.8256965,59.52784578,0,1.83,0.909947342,0.963145159,1.191892531,0.982074435,1.498437965,1.018767127
144,128.57,130.7128571,130.987,120.7844,42.32787354,51.78405615,58.92053569,0,1.66,0.779954864,1.06269585,1.10675735,1.03049769,1.464224484,1.020858971
145,126.78,130.0542857,130.4175,121.2878,36.4297373,48.64980067,58.11968035,0,1.79,0.668532741,1.166596443,1.027703254,1.084747855,1.426334401,1.02779885
146,128.37,129.8285714,129.9775,121.7812,44.45120557,51.46018199,57.63612245,1.59,0,0.800170921,0.999939808,1.067867307,1.007265865,1.396517092,1.026472229
147,126.73,129.15,129.4385,122.2186,38.59139175,48.51104368,56.96237604,0,1.64,0.685860789,1.091376979,0.991591071,1.052461161,1.362676316,1.029562932
148,126.09,128.4042857,128.9825,122.6092,36.40634719,47.37013917,56.2912547,0,0.64,0.587880677,1.026894553,0.920763137,1.022999649,1.325781286,1.029435866
149,127.99,127.8228571,128.884,123.05218,46.8327494,51.05069584,55.97011435,1.9,0,0.775326294,0.880195331,0.990708627,0.949928246,1.299569143,1.022329174
150,128.02,127.5071429,128.9785,123.47758,46.99284142,51.10883436,55.70314712,0.03,0,0.668851109,0.754453141,0.922086582,0.882076228,1.269534951,1.009573172
151,131.84,127.9742857,129.384,124.08094,63.37554405,57.95650814,55.98926506,3.82,0,1.119015237,0.646674121,1.129080398,0.819070783,1.262367346,0.992292265
152,133.93,128.9957143,129.992,124.69154,69.41025639,61.16160768,56.5077383,2.09,0,1.257727346,0.554292104,1.197717512,0.760565727,1.262146393,0.971435115
153,140.28,130.6971429,130.686,125.44294,80.68906,68.91519974,57.77001125,6.35,0,1.985194868,0.475107517,1.56573769,0.706239604,1.296577273,0.947800467
154,131.65,131.4,130.8795,126.00054,50.92024521,53.33214745,57.2954075,0,8.63,1.701595601,1.640092158,1.453899284,1.272222489,1.31586386,0.980766738
155,132.55,132.3228571,130.9245,126.54794,53.02867063,54.48794132,57.03440221,0.9,0,1.587081944,1.405793278,1.414335049,1.181349454,1.328779007,1.001006097
156,132.04,132.9014286,130.8155,127.06738,51.56420677,53.67668038,56.74128387,0,0.51,1.360355952,1.27782281,1.313311117,1.133395922,1.330282671,1.014187845
157,123.07,132.1942857,130.2165,127.29636,32.91306837,41.86910351,55.06741449,0,8.97,1.166019387,2.376705266,1.21950318,1.693153356,1.32246061,1.079069627
158,128.26,131.6828571,130.06,127.62416,46.07863574,48.87648039,54.41192453,5.19,0,1.74087376,2.037175942,1.503110096,1.572213831,1.342385045,1.124693738
159,129.57,131.06,130.041,128.01822,49.02450732,50.49849759,54.0621903,1.31,0,1.679320366,1.746150807,1.489316518,1.459912843,1.358429585,1.154286931
160,127.56,129.2428571,129.845,128.31462,44.65717961,47.98295791,53.49532101,0,2.01,1.439417457,1.783843549,1.382936766,1.499204783,1.36228615,1.184265818
161,128.38,128.7757143,129.6985,128.59422,46.90827532,49.0969924,53.14278545,0.82,0,1.350929249,1.529008756,1.342726997,1.392118727,1.361745345,1.200682148
162,125.72,127.8,129.3815,128.73298,40.65058525,45.67935916,52.48500006,0,2.66,1.157939356,1.690578934,1.246817926,1.482681675,1.352040298,1.224010567
163,130.9,127.6371429,129.415,128.94098,54.45456592,52.59910182,52.59955303,5.18,0,1.732519448,1.449067658,1.527759503,1.376775841,1.370158353,1.234727571
164,129.68,128.5814286,129.4705,129.10438,51.18346145,50.95280584,52.5248501,0,1.22,1.48501667,1.416343707,1.418633824,1.365577566,1.375627796,1.243375958
165,130.27,128.8685714,129.645,129.2598,52.78372248,51.73948636,52.53696273,0.59,0,1.357157145,1.214008891,1.359445694,1.268036312,1.374748242,1.241977527
166,135.35,129.6942857,129.994,129.5668,64.48015463,57.98771499,53.17007602,5.08,0,1.888991839,1.04057905,1.625199573,1.177462289,1.399236032,1.232387123
167,135.48,130.8257143,130.4315,129.8676,64.74092545,58.1370834,53.70069388,0.13,0,1.63770729,0.8919249,1.518399603,1.09335784,1.410591806,1.216174636
168,140.48,132.5542857,131.151,130.2372,73.47802427,63.51062091,54.72940506,5,0,2.11803482,0.764507057,1.767085346,1.015260852,1.444279569,1.194666656
169,143.89,135.15,131.946,130.6742,77.84599528,66.65430987,55.95617767,3.41,0,2.302601275,0.655291763,1.884436393,0.942742219,1.485152031,1.168982137
170,143.61,136.9657143,132.7255,131.033,76.63689529,66.15035274,56.91308945,0,0.28,1.973658235,0.601678654,1.749833793,0.895403489,1.508414231,1.141967686
171,146.15,139.3185714,133.441,131.4956,79.93515094,68.47861061,57.97778094,2.54,0,2.054564202,0.515724561,1.806274236,0.831446097,1.534421373,1.112146585
172,151.34,142.3285714,134.3115,132.0536,84.98744658,72.62234165,59.40112926,5.19,0,2.502483602,0.442049623,2.047968934,0.77205709,1.580519574,1.080237206
173,170.51,147.3514286,135.823,132.8798,92.79994737,82.02278102,62.40672231,19.17,0,4.883557373,0.378899677,3.270971153,0.716910155,1.737807088,1.04684018
174,172.01,152.57,137.841,133.5648,93.12648291,82.52830383,64.80915135,1.5,0,4.400192034,0.324771152,3.144473213,0.665702287,1.864587324,1.012455941
175,181.41,158.4171429,140.284,134.4296,94.8380442,85.31512863,67.38234512,9.4,0,5.114450315,0.278375273,3.591296555,0.618152124,2.019342704,0.977499719
176,193.45,165.4971429,143.3545,135.5552,96.23791385,87.9633963,70.14360352,12.04,0,6.103814555,0.238607377,4.194775373,0.573998401,2.213841364,0.942314369
177,206.78,174.5214286,147.54,136.9406,97.21386141,90.09349828,72.96368028,13.33,0,7.136126762,0.204520609,4.847291418,0.532998515,2.448235907,0.907181333
178,198.8,182.0428571,151.067,138.2124,82.30212182,80.86722336,73.89476208,0,7.98,6.116680082,1.315303379,4.501056316,1.064927192,2.622923724,0.926615716
